,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,A,A#,B,C#,D,D#,E,F,F#,G,G#
43,3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,0,72,17,64,7,0,10,5,0,1,0,0,0,0,0,0,0,0,0
44,3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,1,60,23,91,0,0,12,3,0,0,0,0,0,0,0,0,0,1,0
45,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,0,92,55,70,18,0,15,7,0,0,0,0,0,0,0,0,1,0,0
46,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,0,67,96,88,12,19,8,4,0,0,0,0,0,0,0,0,0,1,0
47,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,0,64,88,72,51,0,17,5,0,0,0,0,0,0,0,0,0,1,0
48,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,0,84,85,68,58,0,22,4,0,0,0,0,0,0,0,0,0,1,0
49,2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,1,86,59,96,50,1,9,5,0,0,1,0,0,0,0,0,0,0,0
50,2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,1,70,86,81,25,0,25,5,0,0,0,0,0,0,0,1,0,0,0
51,3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,1,88,72,59,62,0,9,3,0,0,0,0,1,0,0,0,0,0,0
52,2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,0,77,53,64,74,0,17,14,0,0,0,0,0,0,0,1,0,0,0
53,2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,0,90,40,59,0,0,10,29,0,0,0,1,0,0,0,0,0,0,0
54,1,1999,1,1,31358,43,1755214421.0,196,2,4053,5,0,173,1,43,28,66,0,0,23,3,0,0,1,0,0,0,0,0,0,0,0
55,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,1,64,10,62,7,0,48,7,0,0,0,0,0,0,0,0,0,0,1
56,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,0,59,71,42,55,0,10,7,0,1,0,0,0,0,0,0,0,0,0
57,1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,1,56,48,73,0,0,35,4,0,0,0,1,0,0,0,0,0,0,0
58,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,1,51,22,53,1,0,15,3,0,0,0,0,0,0,0,0,0,0,1
59,2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,0,77,84,89,17,0,43,5,0,0,0,1,0,0,0,0,0,0,0
60,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,0,51,14,59,65,18,25,3,0,0,0,1,0,0,0,0,0,0,0
61,2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,1,62,55,78,1,3,23,4,0,0,0,0,1,0,0,0,0,0,0
62,1,2008,1,1,33898,62,1592909789.0,233,0,4095,9,0,138,0,49,42,62,9,0,11,3,0,0,0,0,0,0,0,1,0,0,0
63,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,1,58,27,48,50,0,12,3,0,0,0,0,0,0,1,0,0,0,0
64,2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,1,71,24,47,1,0,27,9,0,0,0,0,1,0,0,0,0,0,0
65,2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,0,78,58,73,5,0,10,7,0,0,0,0,0,0,0,0,1,0,0
66,1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,1,68,40,79,33,0,30,6,0,0,0,1,0,0,0,0,0,0,0
67,1,1975,1,1,31123,55,2009094673.0,300,65,1003,1,0,102,1,48,50,73,43,0,15,4,0,0,0,1,0,0,0,0,0,0,0
68,2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,1,34,32,57,78,0,20,3,0,1,0,0,0,0,0,0,0,0,0
69,2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,1,63,36,34,76,0,35,9,0,0,0,0,0,0,0,1,0,0,0
70,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,1,50,20,64,1,0,12,3,0,0,0,0,1,0,0,0,0,0,0
71,2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,1,59,48,76,4,0,10,5,0,0,0,1,0,0,0,0,0,0,0
72,2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,0,78,70,68,3,1,11,4,0,0,0,0,0,0,0,0,0,0,1
73,2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,0,91,43,71,9,0,9,8,0,0,0,1,0,0,0,0,0,0,0
74,1,2015,6,22,6060,53,165484133.0,150,148,2703,22,1451,116,1,82,40,66,39,51,25,7,0,0,0,0,1,0,0,0,0,0,0
75,2,2012,6,20,641,50,58054811.0,1,52,8,0,1170,129,1,63,84,82,70,8,9,7,1,0,0,0,0,0,0,0,0,0,0
76,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,1,71,67,60,19,0,12,3,0,0,0,0,0,0,0,0,0,0,1
77,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,172,0,74,76,76,6,0,10,9,0,0,0,1,0,0,0,0,0,0,0
78,2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,150,1,68,14,76,4,0,10,4,0,0,0,0,1,0,0,0,0,0,0
79,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,136,0,62,19,53,11,0,6,4,1,0,0,0,0,0,0,0,0,0,0
80,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,88,0,53,34,47,9,0,83,4,0,0,0,1,0,0,0,0,0,0,0
81,2,2023,5,12,2175,23,144565150.0,69,145,69,2,478,143,1,83,69,44,15,0,10,33,0,0,0,0,0,1,0,0,0,0,0
82,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,100,0,49,17,35,71,9,11,3,0,0,0,0,0,0,0,0,1,0,0
83,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,143,1,56,39,55,14,0,11,13,0,0,0,0,0,0,0,1,0,0,0
84,1,2011,1,1,20333,52,983637508.0,89,143,1632,3,200,112,0,56,24,66,7,0,12,3,0,0,0,1,0,0,0,0,0,0,0
85,1,2023,6,9,674,47,118482347.0,20,106,25,4,78,93,1,62,57,59,3,0,38,3,0,0,0,0,0,0,0,0,0,1,0
86,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,206,1,43,50,55,50,0,15,10,0,0,0,0,0,0,0,0,0,1,0
87,3,2022,12,2,2110,58,286400165.0,17,119,19,2,266,88,0,68,17,71,15,0,11,5,0,0,0,0,0,0,0,0,0,1,0
88,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,170,1,50,37,90,0,0,12,5,0,0,0,0,1,0,0,0,0,0,0
89,1,2004,1,1,12985,61,1241559043.0,49,98,2394,5,204,84,0,62,24,67,21,0,13,28,0,0,0,0,0,0,1,0,0,0,0
90,1,2023,7,7,77,35,29562220.0,8,166,4,4,34,134,0,81,53,72,51,0,12,5,0,0,0,0,0,0,1,0,0,0,0
91,1,2022,4,20,266,27,77309611.0,6,40,6,6,202,158,1,54,50,40,61,0,10,6,0,1,0,0,0,0,0,0,0,0,0
92,3,2017,11,10,21097,52,1605224506.0,384,135,1034,37,312,116,1,80,92,80,4,0,10,3,0,0,0,1,0,0,0,0,0,0,0
93,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32,117,1,61,45,69,2,0,9,3,0,0,0,1,0,0,0,0,0,0,0
94,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,114,0,77,65,72,2,0,7,5,0,0,0,0,0,0,0,1,0,0,0
95,1,2011,1,1,14739,43,1163620694.0,88,112,2163,5,519,108,0,61,47,68,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0
96,2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458,144,0,74,37,53,7,0,21,10,0,0,0,0,0,0,1,0,0,0,0
97,1,2022,12,2,213,6,179659294.0,7,6,0,0,48,130,1,51,18,44,76,0,11,3,0,0,0,0,0,0,0,1,0,0,0
98,2,2023,6,22,58,18,39058561.0,2,106,4,2,184,116,1,77,79,62,33,1,15,3,0,0,1,0,0,0,0,0,0,0,0
99,1,2023,7,7,99,15,36912123.0,21,52,6,1,0,121,1,65,49,78,0,0,17,4,0,0,0,0,0,0,0,0,0,1,0
100,1,1985,2,17,41751,25,1205951614.0,101,32,2655,0,666,112,1,64,54,81,36,0,11,6,0,0,0,0,0,0,0,0,0,1,0
101,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,100,0,70,47,52,30,0,6,33,0,1,0,0,0,0,0,0,0,0,0
102,1,2023,2,25,2988,59,201660859.0,74,102,145,18,925,150,0,55,30,78,24,0,12,8,0,0,0,0,0,1,0,0,0,0,0
103,2,2023,2,8,893,38,248088961.0,19,23,24,3,88,120,0,84,96,71,18,0,34,17,0,0,0,0,0,0,0,1,0,0,0
104,3,2023,5,12,1094,34,90839753.0,40,58,47,8,203,127,0,82,89,85,4,0,23,6,0,0,1,0,0,0,0,0,0,0,0
105,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44,90,1,51,42,61,53,0,9,3,0,0,0,0,0,0,0,1,0,0,0
106,2,2023,6,22,201,11,55842345.0,19,117,8,1,74,128,0,75,79,63,33,0,15,4,1,0,0,0,0,0,0,0,0,0,0
107,2,2023,3,10,5120,48,211050784.0,161,115,246,9,638,143,1,64,31,87,4,4,8,4,1,0,0,0,0,0,0,0,0,0,0
108,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64,139,1,74,68,68,3,0,26,4,0,0,0,0,0,0,0,0,0,0,1
109,2,2022,12,9,763,26,2762.0,21,110,21,9,71,162,1,49,78,64,19,0,11,4,0,1,0,0,0,0,0,0,0,0,0
110,1,2022,8,19,3430,38,601863821.0,45,69,52,4,3,95,1,87,57,55,10,0,29,7,0,0,0,0,0,0,0,1,0,0,0
111,3,2011,8,16,6074,52,1953533826.0,201,44,6551,2,0,146,1,63,88,93,3,0,10,8,0,0,0,0,1,0,0,0,0,0,0
112,2,2017,8,11,15032,30,2355719893.0,221,96,1078,2,136,115,0,35,12,30,93,0,10,3,0,0,0,0,0,0,1,0,0,0,0
113,2,2023,6,21,871,32,66902503.0,25,59,32,5,88,128,1,78,59,65,10,0,26,5,0,0,1,0,0,0,0,0,0,0,0
114,1,2023,5,15,451,33,96273746.0,10,126,7,0,148,130,0,82,69,83,3,0,27,5,0,0,0,0,0,0,1,0,0,0,0
115,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22,127,0,80,74,77,36,0,11,4,1,0,0,0,0,0,0,0,0,0,0
116,1,2011,1,1,9389,46,284819874.0,24,122,282,3,368,150,1,42,20,86,21,0,9,9,0,0,0,0,1,0,0,0,0,0,0
117,2,2023,1,11,5724,44,721975598.0,119,108,254,29,22,122,0,78,50,63,27,0,9,5,0,0,0,0,1,0,0,0,0,0,0
118,3,2022,12,2,1682,46,276259178.0,24,90,30,1,176,119,0,75,48,53,18,0,18,34,0,0,0,1,0,0,0,0,0,0,0
119,5,2023,5,22,182,8,54225632.0,3,88,1,0,52,110,0,76,96,72,32,0,9,4,0,0,0,0,0,0,0,0,0,1,0
120,1,2017,1,1,16596,13,2559529074.0,7,0,2094,0,0,95,1,60,17,45,16,0,11,2,0,0,0,0,0,0,0,0,0,0,1
121,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9,132,1,56,20,55,45,1,32,3,0,0,0,0,0,0,0,0,1,0,0
122,1,2017,1,31,18986,23,2594040133.0,250,121,2969,10,31,125,0,77,74,78,4,0,23,11,0,1,0,0,0,0,0,0,0,0,0
123,4,2023,5,19,283,7,81102253.0,6,9,26,1,66,124,0,84,65,50,67,0,13,6,0,0,0,0,0,1,0,0,0,0,0
124,2,2023,6,1,293,8,11956641.0,5,2,30,2,66,133,0,93,68,65,42,0,12,25,0,0,1,0,0,0,0,0,0,0,0
125,1,2002,1,1,21081,43,1687664027.0,98,76,3889,5,0,112,1,92,67,66,0,0,36,9,0,0,0,0,0,0,0,0,0,1,0
126,2,2016,11,24,1275,32,611700552.0,13,8,5,0,1,90,0,59,52,48,38,5,10,11,0,0,0,0,0,0,0,1,0,0,0
127,2,2022,5,6,6135,38,1133865788.0,71,113,99,13,28,80,0,65,27,69,8,0,53,4,0,0,0,0,0,1,0,0,0,0,0
128,1,2004,1,1,20015,16,1089402494.0,107,69,5239,0,558,172,1,45,33,59,6,0,8,3,1,0,0,0,0,0,0,0,0,0,0
129,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195,120,1,60,24,35,73,0,31,3,0,0,0,0,0,0,1,0,0,0,0
130,1,2023,1,27,539,21,255932395.0,7,71,4,2,13,140,0,74,96,80,18,0,5,5,0,0,0,0,0,0,0,0,0,1,0
131,1,2023,6,30,86,8,31873544.0,7,76,3,1,93,128,0,81,90,77,1,0,9,5,1,0,0,0,0,0,0,0,0,0,0
132,2,2023,2,2,894,9,233801632.0,14,88,66,3,72,160,1,69,61,71,33,0,31,20,1,0,0,0,0,0,0,0,0,0,0
133,1,2012,12,5,1622,9,1481349984.0,0,0,356,0,0,144,1,73,87,70,6,0,28,5,0,0,0,0,0,0,0,1,0,0,0
134,3,2023,4,4,561,14,142095275.0,4,14,12,5,56,192,1,50,85,52,11,0,28,6,0,0,1,0,0,0,0,0,0,0,0
135,1,2013,1,1,29215,43,2011464183.0,179,97,3394,11,153,122,0,66,48,71,6,0,12,4,0,0,0,1,0,0,0,0,0,0,0
136,2,2023,1,23,961,26,436027885.0,19,143,10,6,15,138,0,78,89,83,10,0,12,5,0,0,0,0,0,0,0,0,0,1,0
137,3,2016,4,4,43257,24,2713922350.0,433,107,3631,0,26,104,1,77,36,63,1,0,36,5,0,0,0,1,0,0,0,0,0,0,0
138,1,2010,1,1,4564,16,621660989.0,24,101,113,0,40,164,1,45,24,62,8,0,16,3,0,0,0,0,0,0,0,0,0,0,1
139,1,2010,5,25,13801,19,950906471.0,137,125,435,6,285,81,0,68,51,60,3,0,19,10,0,0,1,0,0,0,0,0,0,0,0
140,1,1983,1,6,22439,19,1593270737.0,211,74,929,0,129,117,1,82,73,45,54,0,7,3,0,0,0,1,0,0,0,0,0,0,0
141,1,2015,2,2,18515,35,1410088830.0,70,82,939,1,162,174,1,45,10,37,97,25,64,4,0,0,0,0,1,0,0,0,0,0,0
142,2,2011,1,1,36843,21,1235005533.0,321,91,4607,1,58,128,1,73,60,77,3,0,11,4,0,0,0,1,0,0,0,0,0,0,0
143,1,2018,5,25,5897,19,1374581173.0,0,0,885,0,0,150,0,65,51,55,73,0,14,3,0,0,0,1,0,0,0,0,0,0,0
144,3,2023,6,2,727,16,94186466.0,17,60,28,1,44,90,0,60,13,53,4,0,21,4,1,0,0,0,0,0,0,0,0,0,0
145,1,2013,1,1,33783,26,1788326445.0,133,92,2733,1,26,85,1,55,42,53,17,0,22,3,0,0,0,0,0,0,0,1,0,0,0
146,1,2012,1,1,26694,13,1840364617.0,65,82,3425,4,13,180,1,33,38,71,20,0,28,5,0,0,0,0,0,1,0,0,0,0,0
147,1,2023,4,12,356,16,143573775.0,35,102,8,1,117,166,1,57,84,94,11,0,37,9,0,0,0,1,0,0,0,0,0,0,0
148,1,2016,11,25,6518,17,684675814.0,45,85,238,1,47,160,1,71,40,50,16,0,16,22,0,0,0,0,0,0,0,0,0,0,1
149,1,2014,1,1,21335,13,1113838873.0,328,70,1378,9,20,160,1,65,95,80,5,0,41,16,0,0,0,0,0,0,0,0,0,1,0
150,1,2013,1,1,23389,29,1267333350.0,54,70,1089,2,1,92,1,70,81,63,4,0,8,4,0,0,0,0,1,0,0,0,0,0,0
151,1,2017,1,6,32181,10,3562543890.0,33,0,6808,7,0,96,0,83,93,65,58,0,9,8,0,0,0,1,0,0,0,0,0,0,0
152,1,1992,9,21,36724,7,1271293243.0,146,72,6807,5,80,92,1,53,12,34,1,0,12,4,0,0,0,0,0,0,0,0,0,1,0
153,1,2019,10,18,794,10,265882712.0,38,25,61,0,263,150,1,34,24,56,4,0,11,3,1,0,0,0,0,0,0,0,0,0,0
154,1,2017,3,21,13091,17,841749534.0,61,96,790,2,116,94,1,37,17,47,2,46,11,3,0,0,0,0,0,0,0,1,0,0,0
155,1,2023,5,19,67,8,47956378.0,7,10,0,0,57,90,0,74,36,63,26,0,27,5,0,0,0,0,0,0,1,0,0,0,0
156,1,2016,8,20,21574,30,806397070.0,112,68,266,1,39,160,1,54,54,55,67,0,42,11,1,0,0,0,0,0,0,0,0,0,0
157,1,2010,1,1,21106,13,1641426668.0,82,0,2946,0,0,109,1,63,46,85,1,0,9,5,0,0,0,0,0,0,0,1,0,0,0
158,1,2013,9,13,23804,31,2135158446.0,187,99,4623,1,0,129,0,57,41,66,63,0,12,5,0,0,0,0,0,0,1,0,0,0,0
159,2,2022,12,16,849,22,367316268.0,27,129,21,7,111,157,1,54,75,60,30,0,7,5,0,0,0,0,0,0,0,0,0,1,0
160,1,2021,4,9,2619,12,350381515.0,47,90,1,0,7,130,1,63,49,73,5,0,9,3,0,0,0,0,0,0,0,0,1,0,0
161,1,2022,5,6,9037,42,1264310836.0,124,133,139,14,166,107,0,65,19,72,10,0,13,25,0,0,0,0,0,0,0,1,0,0,0
162,1,2023,7,7,86,11,30343206.0,3,33,3,0,1,146,0,50,67,89,0,0,19,8,0,0,1,0,0,0,0,0,0,0,0
163,1,2020,2,10,1788,14,405136812.0,1,50,19,0,19,139,0,48,37,41,32,0,10,10,1,0,0,0,0,0,0,0,0,0,0
164,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,0,84,52,77,12,0,7,4,0,0,0,0,0,0,0,0,1,0,0
165,4,2023,6,8,773,33,57312735.0,20,46,21,8,99,170,0,62,55,80,15,0,37,7,0,0,0,0,0,0,0,0,0,0,1
166,1,2022,12,19,1154,22,397582059.0,28,125,11,1,51,134,0,81,18,64,3,0,10,11,0,0,0,0,0,0,0,0,1,0,0
167,1,1984,10,19,44927,17,1479115056.0,34,0,5108,6,0,84,0,57,86,90,2,0,9,5,0,0,0,0,0,0,0,0,1,0,0
168,4,2023,6,2,551,4,86773632.0,13,46,20,1,10,146,0,61,20,48,21,0,12,6,0,0,1,0,0,0,0,0,0,0,0
169,5,2023,5,1,577,14,133753727.0,22,18,15,1,0,74,0,53,24,67,11,0,10,28,0,1,0,0,0,0,0,0,0,0,0
170,1,2023,5,11,955,29,123124076.0,37,50,79,11,31,144,1,75,35,48,84,0,10,12,0,0,1,0,0,0,0,0,0,0,0
171,3,2022,11,24,995,19,463564958.0,12,117,9,5,3,136,0,77,79,73,15,0,27,10,0,0,1,0,0,0,0,0,0,0,0
172,3,2023,5,15,178,6,64533040.0,6,71,1,0,31,100,1,56,53,55,53,0,12,4,0,0,0,0,0,0,1,0,0,0,0
173,1,2023,6,2,290,19,65496046.0,9,101,5,0,73,105,0,89,67,78,9,0,7,33,0,0,0,0,0,0,0,1,0,0,0
174,1,2023,5,26,547,0,68616963.0,15,15,6,0,0,106,1,67,24,78,15,0,30,4,0,0,0,0,0,0,0,1,0,0,0
175,2,2023,3,30,681,10,161460990.0,15,92,21,2,26,132,1,85,53,68,40,0,9,4,0,0,0,0,1,0,0,0,0,0,0
176,2,2023,6,2,332,5,70106975.0,18,41,5,0,19,120,1,78,5,30,21,0,13,5,1,0,0,0,0,0,0,0,0,0,0
177,2,2023,3,17,1197,13,113509496.0,44,34,25,1,171,155,1,82,51,39,2,0,9,49,0,0,0,1,0,0,0,0,0,0,0
178,2,2023,5,13,262,5,89933133.0,8,60,4,1,109,129,1,70,42,43,78,0,11,3,0,0,0,0,0,0,0,0,0,0,1
179,2,2022,9,29,161,6,71007139.0,10,79,2,0,42,135,0,80,85,74,62,0,8,9,0,0,0,0,0,0,0,1,0,0,0
180,2,2023,6,2,185,3,43522589.0,5,6,4,1,33,98,0,73,45,62,28,0,13,13,0,1,0,0,0,0,0,0,0,0,0
181,1,2023,3,31,839,18,232896922.0,20,110,20,0,69,124,0,84,64,39,3,0,11,4,1,0,0,0,0,0,0,0,0,0,0
182,3,2023,6,2,259,0,37126685.0,5,17,5,0,0,135,0,77,28,55,18,0,22,15,1,0,0,0,0,0,0,0,0,0,0
183,1,2023,3,23,2915,30,195576623.0,116,69,107,3,675,107,1,78,39,53,30,0,11,6,0,0,0,0,1,0,0,0,0,0,0
184,2,2022,10,12,5129,25,532336353.0,116,84,114,18,348,96,1,54,25,74,14,0,9,11,0,0,0,0,1,0,0,0,0,0,0
185,2,2022,11,30,3794,34,538115192.0,47,77,53,10,8,123,1,71,58,70,30,0,32,19,0,0,0,0,0,0,0,0,0,0,1
186,2,2023,5,26,588,0,46142772.0,23,21,31,0,0,90,1,62,7,62,6,0,58,6,0,0,0,0,0,0,0,0,0,0,1
187,3,2022,12,2,2959,16,401036314.0,41,69,38,0,36,117,0,72,45,59,14,0,20,21,0,0,0,0,0,0,0,1,0,0,0
188,2,2023,4,4,291,8,127026613.0,8,78,4,1,1,133,0,78,90,84,31,0,7,4,1,0,0,0,0,0,0,0,0,0,0
